"GO_description"	"Species"	"Frequency"
"758"	"protein folding"	"Sodalis glossinidius"	0
"759"	"protein secretion by the type II secretion system"	"Sodalis glossinidius"	0
"760"	"protein transporter activity"	"Sodalis glossinidius"	0
"761"	"protein-N(PI)-phosphohistidine-sugar phosphotransferase activity"	"Sodalis glossinidius"	0
"762"	"pyridoxal phosphate binding"	"Sodalis glossinidius"	0
"763"	"quinone binding"	"Sodalis glossinidius"	0
"764"	"quinoprotein glucose dehydrogenase activity"	"Sodalis glossinidius"	0
"765"	"regulation of cell shape"	"Sodalis glossinidius"	0
"766"	"regulation of gene expression"	"Sodalis glossinidius"	0
"767"	"regulation of transcription, DNA-templated"	"Sodalis glossinidius"	5.58227059331881
"768"	"respiratory chain"	"Sodalis glossinidius"	0
"769"	"response to arsenic-containing substance"	"Sodalis glossinidius"	0
"770"	"ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor"	"Sodalis glossinidius"	0
"771"	"ribose-5-phosphate isomerase activity"	"Sodalis glossinidius"	0
"772"	"ribosome"	"Sodalis glossinidius"	0
"773"	"RNA binding"	"Sodalis glossinidius"	0
"774"	"RNA methyltransferase activity"	"Sodalis glossinidius"	0
"775"	"RNA processing"	"Sodalis glossinidius"	0
"776"	"rRNA binding"	"Sodalis glossinidius"	0
"777"	"rRNA processing"	"Sodalis glossinidius"	0
"778"	"sequence-specific DNA binding"	"Sodalis glossinidius"	11.9045201753943
"779"	"serine-type D-Ala-D-Ala carboxypeptidase activity"	"Sodalis glossinidius"	0
"780"	"serine-type endopeptidase activity"	"Sodalis glossinidius"	0
"781"	"siderophore transport"	"Sodalis glossinidius"	0
"782"	"signal transduction"	"Sodalis glossinidius"	0
"783"	"signaling receptor activity"	"Sodalis glossinidius"	0
"784"	"single-stranded DNA binding"	"Sodalis glossinidius"	0
"785"	"sorbitol-6-phosphate 2-dehydrogenase activity"	"Sodalis glossinidius"	0
"786"	"SOS response"	"Sodalis glossinidius"	0
"787"	"structural constituent of ribosome"	"Sodalis glossinidius"	0
"788"	"sugar:proton symporter activity"	"Sodalis glossinidius"	0
"789"	"thiamine biosynthetic process"	"Sodalis glossinidius"	0
"790"	"thiamine pyrophosphate binding"	"Sodalis glossinidius"	0
"791"	"thiamine transmembrane transport"	"Sodalis glossinidius"	0
"792"	"thiamine transport"	"Sodalis glossinidius"	0
"793"	"thiamine-transporting ATPase activity"	"Sodalis glossinidius"	0
"794"	"transaminase activity"	"Sodalis glossinidius"	0
"795"	"transcription factor activity, sequence-specific DNA binding"	"Sodalis glossinidius"	0
"796"	"transcription factor binding"	"Sodalis glossinidius"	0
"797"	"transcription, DNA-templated"	"Sodalis glossinidius"	0
"798"	"transferase activity"	"Sodalis glossinidius"	0
"799"	"translation"	"Sodalis glossinidius"	0
"800"	"translation elongation factor activity"	"Sodalis glossinidius"	0
"801"	"transmembrane signaling receptor activity"	"Sodalis glossinidius"	0
"802"	"transmembrane transport"	"Sodalis glossinidius"	0
"803"	"transmembrane transporter activity"	"Sodalis glossinidius"	0
"804"	"transporter activity"	"Sodalis glossinidius"	0
"805"	"transposase activity"	"Sodalis glossinidius"	57.1750541325916
"806"	"transposition, DNA-mediated"	"Sodalis glossinidius"	57.1750541325916
"807"	"tricarboxylic acid cycle"	"Sodalis glossinidius"	0
"808"	"tRNA binding"	"Sodalis glossinidius"	0
"809"	"type II protein secretion system complex"	"Sodalis glossinidius"	0
"810"	"UDP-glucose 4-epimerase activity"	"Sodalis glossinidius"	0
"811"	"UDP-glucose metabolic process"	"Sodalis glossinidius"	0
"812"	"unfolded protein binding"	"Sodalis glossinidius"	0
"813"	"uracil transmembrane transporter activity"	"Sodalis glossinidius"	0
"814"	"valine-tRNA ligase activity"	"Sodalis glossinidius"	0
"815"	"valyl-tRNA aminoacylation"	"Sodalis glossinidius"	0
"816"	"zinc ion binding"	"Sodalis glossinidius"	0
"817"	"3-oxoacyl-[acyl-carrier-protein] synthase activity"	"Sodalis praecaptivus"	0
"818"	"3'-5' exonuclease activity"	"Sodalis praecaptivus"	0
"819"	"3'-tRNA processing endoribonuclease activity"	"Sodalis praecaptivus"	0
"820"	"4 iron, 4 sulfur cluster binding"	"Sodalis praecaptivus"	15.8934046923445
"821"	"acetyltransferase activity"	"Sodalis praecaptivus"	0
"822"	"acid phosphatase activity"	"Sodalis praecaptivus"	10.2901484617032
"823"	"alcohol dehydrogenase (NAD) activity"	"Sodalis praecaptivus"	7.62988956095866
"824"	"aldose 1-epimerase activity"	"Sodalis praecaptivus"	7.48265214393121
"825"	"amino acid-transporting ATPase activity"	"Sodalis praecaptivus"	0
"826"	"aminoacyl-tRNA editing activity"	"Sodalis praecaptivus"	0
"827"	"aminopeptidase activity"	"Sodalis praecaptivus"	10.3636549511113
"828"	"antiporter activity"	"Sodalis praecaptivus"	5.49352048389024
"829"	"arginine biosynthetic process via ornithine"	"Sodalis praecaptivus"	6.59222458066828
"830"	"argininosuccinate lyase activity"	"Sodalis praecaptivus"	6.59222458066828
"831"	"aromatic amino acid family biosynthetic process"	"Sodalis praecaptivus"	0
"832"	"arsenite transmembrane transporter activity"	"Sodalis praecaptivus"	10.4612726498493
"833"	"ATP binding"	"Sodalis praecaptivus"	92.4803947191597
"834"	"ATP phosphoribosyltransferase activity"	"Sodalis praecaptivus"	7.38573309500798
"835"	"ATP-binding cassette (ABC) transporter complex"	"Sodalis praecaptivus"	53.3368286623152
"836"	"ATP-dependent DNA helicase activity"	"Sodalis praecaptivus"	0
"837"	"ATPase activity"	"Sodalis praecaptivus"	24.8673879277406
"838"	"ATPase activity, coupled to transmembrane movement of substances"	"Sodalis praecaptivus"	5.61559871686558
"839"	"bacterial-type flagellum-dependent cell motility"	"Sodalis praecaptivus"	0
"840"	"barrier septum assembly"	"Sodalis praecaptivus"	6.39492555195074
"841"	"beta-ketoacyl-acyl-carrier-protein synthase III activity"	"Sodalis praecaptivus"	0
"842"	"biosynthetic process"	"Sodalis praecaptivus"	23.8867203869262
"843"	"biotin biosynthetic process"	"Sodalis praecaptivus"	9.21690658963806
"844"	"carbohydrate binding"	"Sodalis praecaptivus"	7.69409355067853
"845"	"carbohydrate metabolic process"	"Sodalis praecaptivus"	15.249026055331
"846"	"carbohydrate transmembrane transporter activity"	"Sodalis praecaptivus"	8.85067189071205
"847"	"carboxypeptidase activity"	"Sodalis praecaptivus"	8.22443102449334
"848"	"catalytic activity"	"Sodalis praecaptivus"	15.5553621809848
"849"	"cation transmembrane transporter activity"	"Sodalis praecaptivus"	11.344012468243
"850"	"cell adhesion"	"Sodalis praecaptivus"	5.43248136740257
"851"	"cell cycle"	"Sodalis praecaptivus"	0
"852"	"cell division"	"Sodalis praecaptivus"	0
"853"	"cell morphogenesis"	"Sodalis praecaptivus"	0
"854"	"cell outer membrane"	"Sodalis praecaptivus"	8.85067189071205
"855"	"cell wall organization"	"Sodalis praecaptivus"	29.7720373459705
"856"	"cellular response to starvation"	"Sodalis praecaptivus"	10.7219844499787
"857"	"cellulose biosynthetic process"	"Sodalis praecaptivus"	0
"858"	"chemotaxis"	"Sodalis praecaptivus"	0
"859"	"chromosome"	"Sodalis praecaptivus"	0
"860"	"chromosome segregation"	"Sodalis praecaptivus"	0
"861"	"coenzyme binding"	"Sodalis praecaptivus"	7.28192450254545
"862"	"conjugation"	"Sodalis praecaptivus"	0
"863"	"copper ion binding"	"Sodalis praecaptivus"	9.01706273505359
"864"	"cytochrome o ubiquinol oxidase activity"	"Sodalis praecaptivus"	7.83325459670457
"865"	"cytochrome-c oxidase activity"	"Sodalis praecaptivus"	12.0744645191002
"866"	"cytoplasm"	"Sodalis praecaptivus"	86.2013958076846
"867"	"D-gluconate metabolic process"	"Sodalis praecaptivus"	0
"868"	"damaged DNA binding"	"Sodalis praecaptivus"	0
"869"	"DNA binding"	"Sodalis praecaptivus"	94.1632295547716
"870"	"DNA helicase activity"	"Sodalis praecaptivus"	0
"871"	"DNA integration"	"Sodalis praecaptivus"	0
"872"	"DNA ligase (NAD+) activity"	"Sodalis praecaptivus"	5.18832490145189
"873"	"DNA recombination"	"Sodalis praecaptivus"	0
"874"	"DNA repair"	"Sodalis praecaptivus"	8.12470341026721
"875"	"DNA replication"	"Sodalis praecaptivus"	22.8630196307011
"876"	"DNA topoisomerase type II (ATP-hydrolyzing) activity"	"Sodalis praecaptivus"	0
"877"	"DNA topological change"	"Sodalis praecaptivus"	0
"878"	"DNA unwinding involved in DNA replication"	"Sodalis praecaptivus"	0
"879"	"DNA-dependent DNA replication"	"Sodalis praecaptivus"	0
"880"	"DNA-directed DNA polymerase activity"	"Sodalis praecaptivus"	16.6476116446023
"881"	"DNA-directed RNA polymerase activity"	"Sodalis praecaptivus"	0
"882"	"double-strand break repair via homologous recombination"	"Sodalis praecaptivus"	0
"883"	"drug transmembrane transporter activity"	"Sodalis praecaptivus"	5.55455960037791
"884"	"electron carrier activity"	"Sodalis praecaptivus"	0
"885"	"endoribonuclease activity"	"Sodalis praecaptivus"	0
"886"	"exodeoxyribonuclease V activity"	"Sodalis praecaptivus"	0
"887"	"fatty acid biosynthetic process"	"Sodalis praecaptivus"	0
"888"	"flavin adenine dinucleotide binding"	"Sodalis praecaptivus"	0
"889"	"FtsZ-dependent cytokinesis"	"Sodalis praecaptivus"	8.00627124514946
"890"	"galactose binding"	"Sodalis praecaptivus"	8.72859365773671
"891"	"galactose metabolic process"	"Sodalis praecaptivus"	18.1288883192957
"892"	"galactose transport"	"Sodalis praecaptivus"	8.72859365773671
"893"	"glutamate-ammonia ligase activity"	"Sodalis praecaptivus"	13.0212301732491
"894"	"glutamine biosynthetic process"	"Sodalis praecaptivus"	13.0071340794659
"895"	"glutamine metabolic process"	"Sodalis praecaptivus"	12.8151884419182
"896"	"glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity"	"Sodalis praecaptivus"	0
"897"	"glycolytic process"	"Sodalis praecaptivus"	12.3435627139136
"898"	"Gram-negative-bacterium-type cell wall"	"Sodalis praecaptivus"	6.75690111867574
"899"	"GTP binding"	"Sodalis praecaptivus"	22.3822162897042
"900"	"GTPase activity"	"Sodalis praecaptivus"	17.3377927611049
"901"	"helicase activity"	"Sodalis praecaptivus"	11.5376261278782
"902"	"histidine biosynthetic process"	"Sodalis praecaptivus"	24.4308046296169
"903"	"hydrolase activity"	"Sodalis praecaptivus"	13.7709998393413
"904"	"hydrolase activity, hydrolyzing O-glycosyl compounds"	"Sodalis praecaptivus"	7.20292576922763
"905"	"imidazoleglycerol-phosphate synthase activity"	"Sodalis praecaptivus"	11.5945379818828
"906"	"inorganic phosphate transmembrane transporter activity"	"Sodalis praecaptivus"	12.2319807911104
"907"	"integral component of membrane"	"Sodalis praecaptivus"	341.181550079128
"908"	"integral component of plasma membrane"	"Sodalis praecaptivus"	12.5923739212193
"909"	"iron ion binding"	"Sodalis praecaptivus"	7.44176814523321
"910"	"isoleucine biosynthetic process"	"Sodalis praecaptivus"	6.77534193013129
"911"	"isomerase activity"	"Sodalis praecaptivus"	0
"912"	"kinase activity"	"Sodalis praecaptivus"	9.76863229295125
"913"	"lipid A biosynthetic process"	"Sodalis praecaptivus"	0
"914"	"lipoteichoic acid biosynthetic process"	"Sodalis praecaptivus"	0
"915"	"lyase activity"	"Sodalis praecaptivus"	11.8178799814538
"916"	"magnesium ion binding"	"Sodalis praecaptivus"	14.1478164339108
"917"	"membrane"	"Sodalis praecaptivus"	21.9037403193851
"918"	"menaquinone biosynthetic process"	"Sodalis praecaptivus"	0
"919"	"metal ion binding"	"Sodalis praecaptivus"	58.1331003321989
"920"	"metal ion transport"	"Sodalis praecaptivus"	6.53118546418061
"921"	"metalloendopeptidase activity"	"Sodalis praecaptivus"	0
"922"	"methionine biosynthetic process"	"Sodalis praecaptivus"	0
"923"	"mismatch repair"	"Sodalis praecaptivus"	0
"924"	"mismatched DNA binding"	"Sodalis praecaptivus"	0
"925"	"Mo-molybdopterin cofactor biosynthetic process"	"Sodalis praecaptivus"	5.18832490145189
"926"	"NAD binding"	"Sodalis praecaptivus"	8.27396515731139
"927"	"NADH dehydrogenase (ubiquinone) activity"	"Sodalis praecaptivus"	6.89742016310663
"928"	"NADP binding"	"Sodalis praecaptivus"	0
"929"	"negative regulation of transcription, DNA-templated"	"Sodalis praecaptivus"	5.06624666847655
"930"	"negative regulation of translational elongation"	"Sodalis praecaptivus"	12.5888597230797
"931"	"nickel cation transmembrane transporter activity"	"Sodalis praecaptivus"	5.66465165505823
"932"	"nitrogen compound transport"	"Sodalis praecaptivus"	10.0104151039778
"933"	"novo' IMP biosynthetic process"	"Sodalis praecaptivus"	0
"934"	"novo' pyrimidine nucleobase biosynthetic process"	"Sodalis praecaptivus"	0
"935"	"novo' UMP biosynthetic process"	"Sodalis praecaptivus"	0
"936"	"nucleic acid binding"	"Sodalis praecaptivus"	0
"937"	"nucleotide binding"	"Sodalis praecaptivus"	21.7855256094567
"938"	"outer membrane-bounded periplasmic space"	"Sodalis praecaptivus"	28.7148303122339
"939"	"oxidoreductase activity"	"Sodalis praecaptivus"	44.4458928202704
"940"	"oxidoreductase activity, acting on CH-OH group of donors"	"Sodalis praecaptivus"	6.89742016310663
"941"	"penicillin binding"	"Sodalis praecaptivus"	8.39617526000474
"942"	"pentose-phosphate shunt"	"Sodalis praecaptivus"	0
"943"	"pentose-phosphate shunt, non-oxidative branch"	"Sodalis praecaptivus"	0
"944"	"peptidase activity"	"Sodalis praecaptivus"	5.86397501379253
"945"	"peptidoglycan biosynthetic process"	"Sodalis praecaptivus"	14.4855096203631
"946"	"peptidoglycan glycosyltransferase activity"	"Sodalis praecaptivus"	8.23154500624393
"947"	"peptidoglycan metabolic process"	"Sodalis praecaptivus"	5.92079429930392
"948"	"periplasmic space"	"Sodalis praecaptivus"	6.03826407517084
"949"	"phosphate ion binding"	"Sodalis praecaptivus"	6.77534193013129
"950"	"phosphate ion transmembrane transport"	"Sodalis praecaptivus"	8.78963277422438
"951"	"phosphate ion transport"	"Sodalis praecaptivus"	10.9032163221648
"952"	"phosphoenolpyruvate-dependent sugar phosphotransferase system"	"Sodalis praecaptivus"	38.0385784978487
"953"	"phosphogluconate dehydrogenase (decarboxylating) activity"	"Sodalis praecaptivus"	0
"954"	"phosphoglycerate mutase activity"	"Sodalis praecaptivus"	5.50480801237046
"955"	"phosphorelay sensor kinase activity"	"Sodalis praecaptivus"	22.208059098044
"956"	"phosphorelay signal transduction system"	"Sodalis praecaptivus"	30.2392720720562
"957"	"plasma membrane"	"Sodalis praecaptivus"	83.7026162535123
"958"	"plasmid maintenance"	"Sodalis praecaptivus"	0
"959"	"positive regulation of proteolysis"	"Sodalis praecaptivus"	11.3789693126525
"960"	"potassium ion transport"	"Sodalis praecaptivus"	10.1794826439043
"961"	"protein dimerization activity"	"Sodalis praecaptivus"	0
"962"	"protein folding"	"Sodalis praecaptivus"	0
"963"	"protein secretion by the type II secretion system"	"Sodalis praecaptivus"	0
"964"	"protein transporter activity"	"Sodalis praecaptivus"	0
"965"	"protein-N(PI)-phosphohistidine-sugar phosphotransferase activity"	"Sodalis praecaptivus"	14.9181831111933
"966"	"pyridoxal phosphate binding"	"Sodalis praecaptivus"	30.9651086827831
"967"	"quinone binding"	"Sodalis praecaptivus"	17.4215781054958
"968"	"quinoprotein glucose dehydrogenase activity"	"Sodalis praecaptivus"	8.91175729144635
"969"	"regulation of cell shape"	"Sodalis praecaptivus"	13.3157975757972
"970"	"regulation of gene expression"	"Sodalis praecaptivus"	11.3789693126525
"971"	"regulation of transcription, DNA-templated"	"Sodalis praecaptivus"	26.0333220347308
"972"	"respiratory chain"	"Sodalis praecaptivus"	9.46076001492796
"973"	"response to arsenic-containing substance"	"Sodalis praecaptivus"	7.74915922863105
"974"	"ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor"	"Sodalis praecaptivus"	0
"975"	"ribose-5-phosphate isomerase activity"	"Sodalis praecaptivus"	0
"976"	"ribosome"	"Sodalis praecaptivus"	0
"977"	"RNA binding"	"Sodalis praecaptivus"	5.91333099264594
"978"	"RNA methyltransferase activity"	"Sodalis praecaptivus"	0
"979"	"RNA processing"	"Sodalis praecaptivus"	0
"980"	"rRNA binding"	"Sodalis praecaptivus"	0
"981"	"rRNA processing"	"Sodalis praecaptivus"	0
"982"	"sequence-specific DNA binding"	"Sodalis praecaptivus"	12.0083287678568
"983"	"serine-type D-Ala-D-Ala carboxypeptidase activity"	"Sodalis praecaptivus"	12.0030609621584
"984"	"serine-type endopeptidase activity"	"Sodalis praecaptivus"	7.08053751256964
"985"	"siderophore transport"	"Sodalis praecaptivus"	0
"986"	"signal transduction"	"Sodalis praecaptivus"	0
"987"	"signaling receptor activity"	"Sodalis praecaptivus"	0
"988"	"single-stranded DNA binding"	"Sodalis praecaptivus"	0
"989"	"sorbitol-6-phosphate 2-dehydrogenase activity"	"Sodalis praecaptivus"	8.9146121409959
"990"	"SOS response"	"Sodalis praecaptivus"	0
"991"	"structural constituent of ribosome"	"Sodalis praecaptivus"	0
"992"	"sugar:proton symporter activity"	"Sodalis praecaptivus"	0
"993"	"thiamine biosynthetic process"	"Sodalis praecaptivus"	6.22598988174227
"994"	"thiamine pyrophosphate binding"	"Sodalis praecaptivus"	0
"995"	"thiamine transmembrane transport"	"Sodalis praecaptivus"	6.83682294001962
"996"	"thiamine transport"	"Sodalis praecaptivus"	12.2860377955655
"997"	"thiamine-transporting ATPase activity"	"Sodalis praecaptivus"	6.82272684623646
"998"	"transaminase activity"	"Sodalis praecaptivus"	14.1603763753245
"999"	"transcription factor activity, sequence-specific DNA binding"	"Sodalis praecaptivus"	33.7716356282823
"1000"	"transcription factor binding"	"Sodalis praecaptivus"	10.1935324534408
"1001"	"transcription, DNA-templated"	"Sodalis praecaptivus"	0
"1002"	"transferase activity"	"Sodalis praecaptivus"	19.3869085798895
"1003"	"translation"	"Sodalis praecaptivus"	0
"1004"	"translation elongation factor activity"	"Sodalis praecaptivus"	18.6431516535572
"1005"	"transmembrane signaling receptor activity"	"Sodalis praecaptivus"	0
"1006"	"transmembrane transport"	"Sodalis praecaptivus"	92.1834536616874
"1007"	"transmembrane transporter activity"	"Sodalis praecaptivus"	58.6419709740658
"1008"	"transporter activity"	"Sodalis praecaptivus"	25.0236317868174
"1009"	"transposase activity"	"Sodalis praecaptivus"	0
"1010"	"transposition, DNA-mediated"	"Sodalis praecaptivus"	0
"1011"	"tricarboxylic acid cycle"	"Sodalis praecaptivus"	0
"1012"	"tRNA binding"	"Sodalis praecaptivus"	0
"1013"	"type II protein secretion system complex"	"Sodalis praecaptivus"	0
"1014"	"UDP-glucose 4-epimerase activity"	"Sodalis praecaptivus"	11.4987201749503
"1015"	"UDP-glucose metabolic process"	"Sodalis praecaptivus"	0
"1016"	"unfolded protein binding"	"Sodalis praecaptivus"	0
"1017"	"uracil transmembrane transporter activity"	"Sodalis praecaptivus"	0
"1018"	"valine-tRNA ligase activity"	"Sodalis praecaptivus"	0
"1019"	"valyl-tRNA aminoacylation"	"Sodalis praecaptivus"	0
"1020"	"zinc ion binding"	"Sodalis praecaptivus"	37.4449671053619
